"nrep" "ndet" "site" "day" "year"
"609" 1 0 11 108 2008
"610" 1 0 11 110 2008
"611" 1 0 11 113 2008
"612" 1 0 11 181 2008
"613" 1 0 11 165 2008
"614" 1 0 11 160 2008
"615" 2 1 11 153 2008
"616" 1 0 11 154 2008
"617" 1 0 11 115 2008
"618" 2 0 11 127 2008
"619" 2 0 11 121 2008
"620" 2 0 11 124 2008
"621" 1 0 11 131 2008
"622" 1 0 11 111 2009
"623" 1 0 11 109 2009
"624" 1 0 11 118 2009
"625" 1 0 11 116 2009
"626" 1 0 11 124 2009
"627" 2 0 11 122 2008
"628" 1 0 11 129 2008
"629" 1 0 11 107 2011
"630" 1 0 11 162 2008
"631" 1 0 11 177 2008
"632" 1 0 11 176 2008
"633" 1 0 11 105 1997
"634" 2 0 11 130 1997
"635" 1 0 11 121 1999
"636" 1 0 11 131 1999
"637" 1 0 11 126 1999
"638" 1 0 11 119 1999
"639" 1 0 11 138 1999
"640" 1 1 11 134 1999
"641" 1 0 11 156 1999
"642" 1 0 11 168 1999
"643" 1 1 11 153 1999
"644" 2 0 11 105 2000
"645" 1 0 11 121 2000
"646" 1 0 11 123 2000
"647" 1 0 11 125 2000
"648" 2 0 11 118 2000
"649" 1 0 11 114 2000
"650" 1 0 11 139 2000
"651" 1 0 11 138 2000
"652" 1 0 11 132 2000
"653" 1 0 11 111 2000
"654" 1 0 11 140 2000
"655" 1 0 11 116 2012
"656" 1 0 11 179 2011
"657" 3 1 11 120 2010
"658" 1 1 11 138 2010
"659" 1 0 11 158 2010
"660" 1 0 11 171 2010
"661" 1 0 11 144 2010
"662" 2 0 11 118 2012
"663" 1 0 11 109 2012
"664" 1 0 11 115 2012
"665" 1 1 11 117 2012
"666" 1 1 11 124 2012
"667" 1 0 11 112 2012
"668" 1 0 11 134 1995
"669" 1 0 11 143 1995
"670" 1 0 11 127 1995
"671" 2 2 11 123 2010
"672" 1 1 11 136 2010
"673" 1 0 11 111 2010
"674" 2 0 11 114 2010
"675" 1 0 11 109 2010
"676" 7 6 11 121 2010
"677" 1 0 11 119 2010
"678" 1 0 11 105 2010
"679" 2 1 11 127 2010
"680" 1 0 11 117 2010
"681" 1 0 11 116 2010
"682" 1 1 11 147 2010
"683" 1 1 11 151 2010
"684" 1 0 11 126 2008
"685" 2 0 11 123 2008
"686" 1 0 11 125 2008
"687" 1 0 11 113 2009
"688" 1 0 11 133 2008
"689" 1 0 11 115 2010
"690" 1 0 11 118 2010
"691" 1 0 11 128 2010
"692" 1 1 11 129 2010
"693" 1 0 11 113 2010
"694" 3 1 11 122 2010
"695" 1 1 11 132 2010
"696" 1 0 11 112 2010
"697" 1 0 11 149 2000
"698" 1 0 11 135 2001
"699" 1 0 11 107 2001
"700" 1 0 11 130 2000
"701" 1 1 11 133 2001
"702" 1 0 11 137 2002
"703" 2 0 11 127 2002
"704" 1 0 11 160 2001
"705" 1 0 11 122 2002
"706" 1 0 11 177 2007
"707" 1 0 11 174 2007
"708" 1 0 11 133 2006
"709" 1 0 11 172 2007
"710" 1 0 11 166 2007
"711" 1 0 11 170 2007
"712" 1 0 11 171 2007
"713" 1 1 11 148 2002
"714" 1 0 11 115 2002
"715" 1 0 11 144 2002
"716" 1 0 11 152 2003
"717" 1 0 11 129 2002
"718" 1 0 11 113 1998
"719" 1 1 11 155 2002
"720" 1 0 11 124 2002
"721" 1 0 11 116 2003
"722" 1 0 12 129 2004
"723" 1 0 12 150 2004
"724" 1 0 12 122 1998
"725" 1 1 12 123 1999
"726" 1 0 12 125 1999
"727" 1 0 12 126 1999
"728" 1 0 12 127 1999
"729" 1 0 12 112 1996
"730" 1 0 12 110 1996
"731" 1 0 12 181 1995
"732" 1 0 12 168 1995
"733" 1 0 12 118 1995
"734" 1 0 12 130 1996
"735" 1 0 12 139 1999
"736" 1 0 12 105 1996
"737" 1 0 12 129 1999
"738" 1 0 12 130 1999
"739" 2 0 12 134 1999
"740" 1 0 12 138 1999
"741" 1 0 12 133 1999
"742" 1 0 12 137 1999
"743" 1 0 12 144 1999
"744" 1 0 12 108 1996
"745" 1 0 12 109 1996
"746" 1 0 12 128 1996
"747" 1 0 12 111 1996
"748" 1 0 12 117 1996
"749" 1 0 12 181 2000
"750" 1 0 12 167 2000
"751" 1 0 12 144 2000
"752" 1 0 12 131 2000
"753" 1 0 12 122 2012
"754" 1 0 12 122 2000
"755" 1 0 12 112 2000
"756" 1 0 12 137 2000
"757" 1 0 12 109 2000
"758" 1 0 12 118 2002
"759" 1 0 12 115 2001
"760" 1 0 12 148 2001
"761" 1 0 12 119 2001
"762" 1 0 12 122 2001
"763" 1 0 12 117 2001
"764" 1 0 12 107 2001
"765" 1 0 13 127 1995
"766" 1 0 13 135 1995
"767" 1 1 13 155 2006
"768" 1 0 13 113 2003
"769" 1 0 13 169 1996
"770" 1 0 13 174 1998
"771" 1 0 13 132 1998
"772" 1 0 13 117 1997
"773" 1 0 13 128 1997
"774" 1 0 13 137 1998
"775" 1 0 13 111 2000
"776" 1 0 14 135 1995
"777" 1 1 14 144 1995
"778" 1 0 14 148 1995
"779" 1 0 14 130 1997
"780" 2 0 14 117 1997
"781" 1 0 14 169 2000
"782" 2 0 15 111 2012
"783" 1 0 15 124 2011
"784" 2 0 15 139 2012
"785" 1 0 15 146 2011
"786" 2 0 15 114 2012
"787" 1 0 15 113 2012
"788" 2 0 15 122 2011
"789" 1 0 15 144 2011
"790" 1 0 15 122 2012
"791" 1 0 15 136 2012
"792" 1 0 15 124 2012
"793" 1 0 15 123 2012
"794" 2 0 15 141 2012
"795" 1 0 15 142 2012
"796" 1 0 15 135 2012
"797" 2 0 15 121 2012
"798" 2 0 15 120 2012
"799" 1 0 15 119 2012
"800" 1 0 15 129 2012
"801" 1 0 15 131 2012
"802" 1 0 15 130 2012
"803" 1 0 15 134 2012
"804" 1 0 15 127 2012
"805" 1 0 15 157 2012
"806" 1 0 15 117 2012
"807" 1 0 15 155 2012
"808" 1 0 15 159 2012
"809" 1 0 15 176 2012
"810" 1 0 15 171 2012
"811" 1 0 15 170 2012
"812" 1 0 15 145 2012
"813" 1 0 15 144 2012
"814" 1 0 15 151 2012
"815" 1 0 15 158 2012
"816" 1 0 15 126 2011
"817" 1 0 15 130 2011
"818" 1 0 15 135 2011
"819" 1 0 15 138 2011
"820" 1 0 15 139 2011
"821" 1 0 15 127 2011
"822" 1 0 15 128 2012
"823" 1 0 15 158 2011
"824" 1 0 15 151 2011
"825" 1 0 15 145 2011
"826" 2 0 15 136 2011
"827" 1 0 15 137 2011
"828" 2 0 15 131 2011
"829" 1 0 15 159 2011
"830" 1 0 15 143 2011
"831" 1 0 15 181 2011
"832" 2 1 15 129 2011
"833" 1 0 15 167 2011
"834" 1 0 15 152 2011
"835" 1 0 15 113 2011
"836" 1 0 15 121 2011
"837" 1 0 15 120 2011
"838" 3 1 15 125 2011
"839" 2 0 15 123 2011
"840" 1 0 15 133 2011
"841" 1 0 15 168 2011
"842" 3 0 15 124 1995
"843" 1 0 15 136 1995
"844" 1 0 15 127 1995
"845" 1 0 15 143 1995
"846" 3 0 15 119 1995
"847" 1 0 15 114 1995
"848" 2 0 15 116 1995
"849" 2 0 15 122 1995
"850" 1 0 15 120 1995
"851" 1 0 15 149 1995
"852" 2 0 15 106 1995
"853" 2 0 15 109 1995
"854" 1 0 15 110 1995
"855" 1 0 15 121 1995
